"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Channel Islands","CHI","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.14030777638842","6.15496006214166","6.16831976618526","5.86532393881778","6.35219236673414","5.27377249241747","6.11372861229098","4.61349782796638","5.15644279110882","4.27323716574525","4.1732705853903","5.9073098501048","7.38393736885077","7.87605184618534","6.94150218339872","8.50734551874009","6.63564416885275","",
"China","CHN","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.8357347949014","5.67079470897926","6.59656758051884","","","6.82026726061278","","",
"Congo, Dem. Rep.","COD","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138.159838315183","159.000983593044","153.934957438765","152.594152865647","142.648147658162","115.410967379564","118.53847579047","115.721209773341","113.279591329149","117.696360080913","126.425680854464","129.621223844555","130.291396123699","105.721922063639","90.0090118005007","79.4392532299114","76.2557105643612","73.7446446758423","68.6045033383021","66.3916016288632","64.2053531963185","65.9534437956441","66.4798550044582","62.0996074201985","52.7740412426747","50.3386558315593","48.3247563091818","46.9495347162468","48.6292116932293","47.7253171911508","45.23542798783","51.5005926660189","",
"Comoros","COM","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.4116727196868","17.2426416000624","17.490519766148","18.4023790595648","14.1984949595343","","11.0326959282234","8.09616840030273","9.7569644689685","9.31853871507705","","",
"Costa Rica","CRI","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.98600631316344","6.56894003032431","8.08165727153733","8.19965514412701","8.94491287553474","8.73704913517716","9.26218447551625","10.1175983663006","10.2275489011421","10.8364139566314","10.4216928491843","11.2067214108648","10.8052652421106","12.4466076006763","11.278887966385","12.616537292747","13.9038485262034","14.8791183674201","19.9839288536763","20.332324425361","20.0773754475671","17.4507627792255","15.0164044754774","15.5962249649397","17.5290103063174","20.9770028913642","20.6510818222482","21.7750979979296","20.5506139050443","20.224825443066","19.8079872979332","20.6302222673778","",
"Caribbean small states","CSS","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.11639480886433","11.298253260842","12.5489511395675","11.6631518497931","10.2423019193549","10.5446910730523","11.3682202573758","8.08926885682722","7.74909784446825","7.98502610664898","8.50712851795902","8.72245159039367","9.15081341651672","9.17314171659525","7.86836072650724","7.61630916320996","7.01100959248107","7.31097405597935","6.72322095856811","7.12811076871355","8.55918597356753","9.33214677536699","7.85796967584725","8.49253594554303","7.98165811425805","6.83846206177151","6.79420193805054","7.01812737883425","","","",
"Curacao","CUW","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.2861443007648","50.4324968670722","61.9316636959609","50.7042673606192","29.4184703866322","21.7410209583442","32.8477577834904","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.6482278381973","14.9014640688448","7.10454335547583","13.5634600386559","12.9684865776164","12.4223602484472","5.95965314818678","11.4560659869401","5.51663264743201","","15.4102992166431","4.9563838223632","","9.25733064870745","17.9191398812857","13.0177258033022","0","4.07772136929884","15.8265411094405","26.8889486421081","33.5864758457261","","","17.1750480901347","16.748735470472","","","","","","","","",
"Cyprus","CYP","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.34037656658956","3.45039104431836","2.07303685765304","1.8532795635156","1.27603917440265","2.15219034688825","1.23545581701134","0.522618037638951","2.93272838622308","1.53891137409397","1.01727847489611","2.01701689923992","1.33290347196363","1.15620398411376","1.47398417923648","0.812166910046017","1.61308014427389","1.44426462458347","",
